Company	Full address	Street	City	State	Code
A. & S. Wilson Company	,Pittsburgh,PA		Pittsburgh	PA	6
A. B. Clark Company	105 Bedford street,Boston,MA	105 Bedford street	Boston	MA	6
A. B. Famham Printing and Stationery Company	417 Hennepin avenue,Minneapolis,MN	417 Hennepin avenue	Minneapolis	MN	6
A. B. Morse Company	,St Joseph,MI		St Joseph	MI	6
A. C. Staley Manufacturing Company	,South Bend,IN		South Bend	IN	6
A. E. Little & Company	,Lynn,MA		Lynn	MA	6
A. E. Mann & Company	36 Lincoln street,Boston,MA	36 Lincoln street	Boston	MA	6
A. F. Bartlett & Company	930 South Tilden street,Saginaw,MI	930 South Tilden street	Saginaw	MI	6
A. Garrison Foundry Company	Ninth and Bingham streets,Pittsburgh,PA	Ninth and Bingham streets	Pittsburgh	PA	6
A. H. Vilas Company	319 West Lake street,Chicago,IL	319 West Lake street	Chicago	IL	6
A. J. Bates & Company Inc	176-178 Duane street,New York,NY	176-178 Duane street	New York	NY	6
A. J. Hedges & Company	90 Mechanic street,Newark,NJ	90 Mechanic street	Newark	NJ	6
A. Kory & Sons	210 Decatur street,New Orleans,LA	210 Decatur street	New Orleans	LA	6
A. Leschen & Sons Rope Company	920-932 North First street,St Louis,MO	920-932 North First street	St Louis	MO	6
A. P. Burchfield	,Pittsburgh,PA		Pittsburgh	PA	6
A. Rosenberg Motor and Manufacturing Company	629 North Carey street,Baltimore,MD	629 North Carey street	Baltimore	MD	6
A. T. Hagen Company	55 North street,Rochester,NY	55 North street	Rochester	NY	6
Aberfoyle Manufacturing Company	,Chester,PA		Chester	PA	6
Acme Kitchen Furniture Company	,Chattanooga,TN		Chattanooga	TN	6
Acme White Lead and Color Works	St Aubin avenue,Detroit,MI	St Aubin avenue	Detroit	MI	6
Adams & Raymond	Massachusetts avenue and East Tenth street,Indianapolis,IN	Massachusetts avenue and East Tenth street	Indianapolis	IN	6
Advance Thresher Company	,Battle Creek,MI		Battle Creek	MI	6
Alabama Steel and Wire Company	,Gadsden,AL		Gadsden	AL	6
Alan Wood Iron and Steel Company	519 Arch street,Philadelphia,PA	519 Arch street	Philadelphia	PA	6
Albany Perforated Wrapping Paper Company	Colonie and Montgomery streets,Albany,NY	Colonie and Montgomery streets	Albany	NY	6
Albion Lumber Company	Crocker building,San Francisco,CA	Crocker building	San Francisco	CA	6
